,post,type,symptom,label
1636,It's like I'm stuck in a loop of feeling tired all the time and I don’t see how anything will ever change or get better.,colloquial,"['Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue', 'Pessimism']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
1637,"I can barely get out of bed, nothing feels worth the effort because everything seems like it’s going to fail anyway.",colloquial,"['Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue', 'Pessimism']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
1638,"I'm just so tired, I can't bring myself to care about hobbies or friends. I feel like nothing good is coming.",colloquial,"['Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue', 'Pessimism']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
1639,"I used to love hanging out with friends, but now I’m too exhausted to even think about it, and it seems pointless since nothing good comes from it.",colloquial,"['Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue', 'Pessimism']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
1640,"I experience initial insomnia, coupled with a considerable decrease in appetite and persistent fatigue, making it difficult to function daily.",clinical,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1641,"There's a marked decrease in my need for sleep, significant weight fluctuations due to erratic eating habits, and persistent low energy levels.",clinical,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1642,"Despite sleeping excessively, I wake up feeling unrefreshed, and this is accompanied by a substantial loss of appetite and a distinct lack of energy.",clinical,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1643,"I experience a noticeable decrease in both my energy levels and interest in food, along with restless, unsatisfying sleep.",clinical,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1644,"Due to terminal insomnia, I wake up too early and can't go back to sleep, which, along with my significant weight loss and profound exhaustion, impacts my daily functioning.",clinical,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1645,"I can't remember the last time I slept well, I'm either overeating or not eating at all, and I feel like I'm always tired.",colloquial,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1646,"I’m just so exhausted all the time, I can't sleep properly, and I either stuff myself with food or forget to eat.",colloquial,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1647,"My sleep is all over the place, sometimes I eat way too much or not at all, and I have zero energy for anything.",colloquial,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1648,"I hardly sleep anymore, my eating habits are a mess, and I'm constantly drained.",colloquial,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1649,"I feel like a zombie; I can't sleep well, my eating is out of whack, and I'm always tired.",colloquial,"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
1650,"I feel an overwhelming sense of sadness that is hard to shake off, and I find myself pacing around aimlessly, unable to sit still even for a moment.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1651,"My mood remains persistently low, and I experience an incessant urge to fidget or tap my feet, unable to relax.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1652,"I feel emotionally numb and often find myself unable to remain seated during meetings, as if driven by a constant internal motor.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1653,"Despite feeling a pervasive sense of despair, I struggle with restlessness, frequently interrupting others and unable to engage quietly in activities.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1654,"There's a persistent heaviness in my mood, coupled with an inability to unwind, constantly feeling the need to move or do something purposeless.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1655,I can't shake this gloomy feeling and I can't sit still; I'm always fidgeting or pacing around.,colloquial,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1656,"I'm feeling so down all the time, and I just can't relax. I'm either tapping my fingers or bouncing my leg constantly.",colloquial,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1657,"It's like there's this heavy cloud of sadness over me, and I'm always on edge, unable to stop moving or talking.",colloquial,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1658,"I feel so empty inside, but my body won't stop moving. I keep getting up and down, can't sit still for a second.",colloquial,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1659,I'm stuck in this rut of feeling sad and restless. It's exhausting to feel so numb yet unable to stop the restless energy.,colloquial,"['Depressed_Mood', 'Hyperactivity_agitation']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1660,"I frequently have detailed thoughts of ending my life, paired with a foreboding certainty that nothing in my future will improve, and a persistent belief that I am fundamentally flawed and undeserving.",clinical,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1661,"There's this overwhelming cycle where I plan out ending things because I'm sure my efforts are futile, and I'm constantly burdened by guilt and worthlessness.",clinical,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1662,"I often find myself immersed in suicidal ideation without a specific plan, accompanied by a profound expectation of future failures and an unshakable sense of self-disgust and guilt.",clinical,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1663,"I am consumed by recurrent thoughts of death, as I struggle to see any hopeful prospects in my life, coupled with an incessant belief that my existence is a burden due to my faults.",clinical,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1664,"I have persistent fantasies about my own death, which seem to be a release from the bleak outlook I have on my future and the relentless guilt over perceived personal failures.",clinical,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1665,"I can't stop thinking about ending it all because life just feels like a never-ending cycle of failure and disappointment, and I hate myself for it.",colloquial,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1666,"Sometimes, I imagine how I'd go through with it, since everything I do seems pointless and I'm always blaming myself for everything going wrong.",colloquial,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1667,"I'm stuck in this loop where I'm planning the logistics of my own death, knowing deep down that nothing's gonna change for the better, and I can't shake off this feeling of being worthless.",colloquial,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1668,"I often think about how much easier it would be if I wasn't around, especially since I don't see things getting any better and I'm constantly feeling guilty about everything.",colloquial,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1669,The idea of dying pops up in my head because I can't see a future for me that's not disappointing and I just feel like a failure all the time.,colloquial,"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
1670,"I exhibit a depressed mood characterized by frequent crying spells and a pervasive sense of gloom, paired with a marked loss of interest in activities I once enjoyed and a persistent sense of worthlessness.",clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1671,"There is an enduring depressed mood with feelings of emptiness, accompanied by a lack of motivation for personal care and an exaggerated sense of guilt over minor past failings.",clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1672,Persistent feelings of sadness are accompanied by a diminished interest in significant activities and a distorted cognition leading to self-blame and a sense of low self-worth.,clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1673,"I experience a pervasive low mood, characterized by emotional numbness, alongside a loss of motivation to maintain relationships, and self-criticizing thoughts about my perceived inadequacies.",clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1674,"The distressing sense of incompleteness I feel is compounded by social withdrawal and feelings of guilt over nonexistent failures, indicating a profound lack of self-esteem.",clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1675,"I feel so empty and sad all the time, like nothing matters anymore. I don't care about my hobbies or seeing friends, and I can't shake off this feeling that I'm just not good enough.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1676,"I can't find any joy in things I used to love, and I constantly feel like I'm letting everyone down. It's like I'm stuck in a cloud of sadness that I can't escape.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1677,"I'm just not interested in anything anymore, and I keep beating myself up over every little thing I've done wrong. It's like I'm doomed to feel this way forever.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1678,"Most days, I feel so detached and sad, like I'm just going through the motions without any real purpose. I beat myself up over everything, even things that aren't my fault.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1679,"I feel so weighed down by sadness and guilt. I don't want to do anything or see anyone, and I just keep thinking about all the ways I'm a failure.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
1680,"I experience profound fatigue and persistent low mood, accompanied by notable difficulties in memory retention and recall.",clinical,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1681,"I present with pervasive energy depletion, frequent crying spells, and significant memory lapses, affecting my daily functioning.",clinical,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1682,"I report an ongoing sense of tiredness, a deeply entrenched feeling of sadness, and issues with memory retention.",clinical,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1683,"I am experiencing sustained fatigue, a pervasive sense of gloom, and cognitive impairments manifesting as poor memory.",clinical,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1684,"I endure a persistent low mood, significant energy deficits, and recurrent forgetfulness regarding daily events.",clinical,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1685,"I’m always feeling so drained and sad, and I can't even remember stuff like my own plans. It's like my brain is just fogged up.",colloquial,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1686,"These days, I'm too tired to do anything, always feeling down, and I keep forgetting things like where I left my keys.",colloquial,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1687,"Every day feels like a struggle; I'm exhausted, sad all the time, and I can't remember things I just did.",colloquial,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1688,"I'm feeling so empty and tired, and I keep spacing out and forgetting things I need to do. It’s overwhelming.",colloquial,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1689,"I can’t shake off this tiredness and low mood, and my memory is just terrible—like, I forget simple stuff every day.",colloquial,"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1690,"I frequently experience recurrent suicidal ideation without a specific plan, often accompanied by a persistent feeling of emotional numbness and indecisiveness in everyday tasks.",clinical,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1691,"The pervasive sense of gloom I feel is frequently interrupted by intrusive thoughts about dying, and I find myself unable to make even simple decisions, while also struggling to sustain attention to tasks.",clinical,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1692,"I present with persistent feelings of sadness, coupled with an overwhelming difficulty in decision-making processes, and recurrent thoughts of not wanting to live, which interfere with my ability to concentrate.",clinical,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1693,"I experience a distressing sense of incompleteness and emotional heaviness, which is often accompanied by recurrent thoughts of self-inflicted harm and a significant indecisiveness that paralyzes my daily life.",clinical,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1694,"While grappling with a persistent low mood and frequent crying spells, I find myself avoiding decision-making altogether, distracted by thoughts of death as a potential escape.",clinical,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1695,"I feel so empty and numb all the time, and it’s like I can't make a decision to save my life. Sometimes I just think about ending it all.",colloquial,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1696,"I can't focus on anything. I'm always second-guessing myself, and sometimes when I feel super down, I just wish I could disappear forever.",colloquial,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1697,"I spend hours crying, unable to decide on anything, all while the thought of not wanting to live keeps creeping in.",colloquial,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1698,It's hard to get out of bed. I’m constantly weighed down by sadness and can't decide what to do next. Sometimes I just imagine not being here at all.,colloquial,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1699,"I’m so lost in my head, feeling like a mess of sadness and hesitation, while thoughts of how to escape this life won't leave me alone.",colloquial,"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']","[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1700,"I find myself feeling persistently low and emotionally heavy, with a pervasive sense of gloom, and I am convinced that my future holds no hope for improvement.",clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1701,"My mood is consistently melancholic and empty, and I can't shake off the belief that my future endeavors will be met with failure.",clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1702,I experience frequent crying spells and a deep emotional numbness while constantly feeling that any effort I make will be useless in changing my bleak future.,clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1703,"I am engulfed in a sadness that feels insurmountable, paired with an unshakeable belief that I will never achieve any of my personal aspirations.",clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1704,"There's a persistent sense of despair in my demeanor, coupled with a firm conviction that my life lacks direction and will not see positive changes.",clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1705,"I'm feeling super down all the time, and honestly, I just don't see things ever getting better.",colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1706,"I cry almost every day and feel so empty inside, and no matter what I do, it just feels like nothing's gonna change for the better.",colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1707,"I just feel numb and sad, it's like my future's already written in failure, you know?",colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1708,"Most days, I can't shake this heavy sadness, and thinking about the future just fills me with dread.",colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1709,"I'm stuck in this low mood, and it's hard not to feel like every effort is pointless and nothing good will come my way.",colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
1710,"I experience persistent fatigue and lack of energy, combined with difficulty maintaining sleep throughout the night.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1711,"My energy levels are consistently low, and I struggle with both falling asleep and staying asleep.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1712,"Even minimal tasks drain me, and I battle with insomnia and frequent awakenings during the night.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1713,"Despite feeling exhausted, I find myself unable to fall asleep easily and wake up often, which exacerbates my fatigue.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1714,"I experience prolonged periods of tiredness that coincide with irregular sleep patterns and restless, unsatisfying sleep.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1715,"I'm constantly tired, and I can't get a good night's sleep. Either I can't fall asleep or I keep waking up.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1716,"I feel wiped out all the time, but when I try to sleep, I just toss and turn all night.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1717,"No matter how much I sleep, I'm always exhausted, and I can't seem to sleep through the night.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1718,"It feels like I have zero energy, and my sleep is all over the place; either I can't get to sleep or I wake up constantly.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1719,"I'm tired all the time, but my sleep sucks. I either can't fall asleep or wake up way too early.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1720,"I have been experiencing persistent feelings of worthlessness and guilt, characterized by a significantly low self-esteem and self-reproach about being unable to control my eating habits, all of which contribute to a pervasive sense of melancholy and tearfulness.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1721,"I often feel an overwhelming sense of guilt over minor past decisions, accompanied by frequent crying spells and a noticeable loss of appetite, leading to significant weight loss.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1722,"I find myself trapped in a cycle of self-blame and guilt for overeating, which exacerbates my persistent low mood and contributes to my distressing sense of emotional heaviness.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1723,"Despite feeling emotionally numb and experiencing a sense of emptiness, I am plagued by guilty preoccupations over my eating habits, which have led to significant fluctuations in my weight.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1724,"I have persistent feelings of sadness and an exaggerated belief in my lack of self-worth, often criticizing myself for my inability to control my overeating, resulting in weight gain.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1725,"I can't stop feeling guilty about everything, including how much I eat, which just makes me even more depressed and uninterested in food.",colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1726,"I constantly beat myself up for being a failure, and the sadness makes me eat way too much, then I hate myself for gaining weight.",colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1727,"I feel so low and guilty every day, like I'm a disappointment for not being able to control my eating. It's like sadness eats me up, and I lose my appetite.",colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1728,"I cry a lot because I feel worthless, especially after eating too much again. It makes me feel like I'm falling apart.",colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1729,I'm constantly down and full of guilt about my eating habits. I skip meals sometimes just because I feel I don't deserve to eat.,colloquial,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
1730,I exhibit a general lack of interest in social engagements and find it increasingly difficult to sustain attention during interactions due to persistent indecisiveness.,clinical,"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
1731,"There is a notable decrease in my enthusiasm for hobbies previously enjoyed, paralleled by an ongoing struggle to concentrate on tasks as minor decisions become overwhelming.",clinical,"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
1732,"My ability to engage with personal projects has waned as I frequently second-guess decisions, leading to a marked decline in focus and interest.",clinical,"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
1733,"I consistently demonstrate reduced motivation to complete work responsibilities, largely due to an inability to make definitive choices and maintain attention.",clinical,"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
1734,"Persistent feelings of emotional numbness coincide with my indecisiveness and diminished concentration, impairing my interaction with daily activities.",clinical,"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
1735,"Lately, I just can't get myself to care about anything. I'm constantly stuck overthinking every little decision and can't focus on anything.",colloquial,"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
1736,"I feel like I'm in a fog, where making a choice feels impossible and I can't keep my attention on one thing for long.",colloquial,"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
1737,I don't feel like doing anything anymore; even simple decisions wear me out and I can't concentrate on stuff like I used to.,colloquial,"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
