,post,type,symptom,description,label
419,I don’t think I’ve felt anything real in a long time; it’s all just numbness.,colloquial,Depressed_Mood,Feeling emotionally numb,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
420,I experience a persistent low mood that feels unshakeable.,clinical,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
421,I feel like I'm in a constant state of sadness with no relief.,clinical,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
422,I have an ongoing sense of hopelessness and gloom.,clinical,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
423,I find myself stuck in a pervasive feeling of melancholy.,clinical,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
424,I am experiencing a continuous depressive mood that doesn't lift.,clinical,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
425,I feel trapped in sadness and can't see a way out.,colloquial,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
426,"Every day feels grey and heavy, and I can't shake it off.",colloquial,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
427,It's like there's a cloud over me all the time.,colloquial,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
428,I can't remember the last time I felt truly happy.,colloquial,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
429,I wake up every day with this constant sadness that just won't go away.,colloquial,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
430,I consistently experience a pervasive low mood throughout the day.,clinical,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
431,I feel like I've been stuck in a constant state of sadness.,colloquial,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
432,My mood remains consistently depressed despite various activities.,clinical,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
433,It's like I'm always in a bad mood and can't shake it off.,colloquial,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
434,I experience a sustained low mood that does not improve throughout the day.,clinical,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
435,I feel down all the time and nothing seems to lift my spirits.,colloquial,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
436,There is a chronic presence of a depressed mood that persists each day.,clinical,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
437,My mood is low and it just seems to linger on endlessly.,colloquial,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
438,I experience a continuous depressed mood that does not ease with daily events.,clinical,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
439,"I'm feeling low all the time, like there's a cloud hanging over me.",colloquial,Depressed_Mood,Feeling a persistent low mood,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
440,I experience a pervasive sense of hopelessness and despair throughout the day.,clinical,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
441,"I feel so much despair, like there's no light at the end of the tunnel.",colloquial,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
442,I find myself overwhelmed by a constant state of despair.,clinical,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
443,I just can't shake this feeling of despair that's weighing me down.,colloquial,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
444,Hopelessness is a persistent feeling that I find difficult to escape.,clinical,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
445,"Despair is hitting me hard, and I don't know how to handle it.",colloquial,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
446,I frequently experience a profound sense of despair that impacts my mood.,clinical,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
447,It's like I'm stuck in a pit of despair with no way out.,colloquial,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
448,There is a persistent and overwhelming feeling of despair affecting my daily life.,clinical,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
449,I'm drowning in despair and it feels like nothing will ever get better.,colloquial,Depressed_Mood,Feeling a sense of despair,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
450,I experience a persistent mood of deep sadness that does not improve over time.,clinical,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
451,I feel like I'm carrying an unshakable weight of sadness every day.,colloquial,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
452,I have a pervasive and enduring sense of emotional heaviness.,clinical,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
453,Every moment feels like I'm stuck in this fog of sadness that never lifts.,colloquial,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
454,I feel an overwhelming and persistent heaviness in my mood.,clinical,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
455,I wake up every day feeling like there's this dark cloud hanging over me.,colloquial,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
456,"There is a constant, unrelenting heaviness in my emotional state.",clinical,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
457,I just can't seem to shake off this heavy feeling inside me.,colloquial,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
458,"I report a chronic, profound sadness that I can't seem to alleviate.",clinical,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
459,"It's like there's this heavy sadness that's always there, and I can't get rid of it.",colloquial,Depressed_Mood,Feeling a sense of emotional heaviness,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
460,I experience a pervasive sense of sadness most days.,clinical,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
461,It feels like there's a constant cloud over my emotions.,colloquial,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
462,"My mood is predominantly downcast, with reduced fluctuations.",clinical,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
463,"I can't shake this heavy feeling of sadness, no matter what I do.",colloquial,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
464,I find myself entrenched in a persistent low mood.,clinical,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
465,I'm just always feeling so down and can't seem to lift myself out of it.,colloquial,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
466,There is a consistent and overwhelming feeling of melancholy.,clinical,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
467,Every day feels like I'm battling this never-ending sadness.,colloquial,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
468,I am engulfed in an ongoing state of despondency.,clinical,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
469,I can't remember the last time I didn't feel this sad.,colloquial,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
470,I experience frequent urinary urgency and difficulty in controlling urination.,clinical,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
471,"I'm constantly running to the bathroom, and it's super frustrating!",colloquial,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
472,I have noticed a persistent burning sensation during urination.,clinical,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
473,"Every time I pee, it feels like fire.",colloquial,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
474,I have recurrent episodes of urinary incontinence.,clinical,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
475,I can't seem to hold it in anymore; it's so embarrassing.,colloquial,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
476,I frequently wake up at night due to the need to urinate.,clinical,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
477,"I'm up all night going to the bathroom, it's driving me crazy.",colloquial,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
478,I experience lower abdominal discomfort related to urination.,clinical,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
479,My lower stomach always hurts when I need to pee.,colloquial,Genitourinary_symptoms,,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
480,"I experience increased frequency of micturition, urinating more often than usual.",clinical,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
481,I feel the urge to urinate frequently throughout the day and night.,clinical,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
482,I have noticed a significant increase in diurnal and nocturnal urination frequency.,clinical,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
483,"I present with persistent urinary frequency, disrupting daily activities.",clinical,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
484,I report an abnormally high frequency of urination without significant fluid intake change.,clinical,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
485,I can't stop running to the bathroom; it's like I'm peeing every hour.,colloquial,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
486,"I feel like I'm always needing to pee, even if I just went.",colloquial,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
487,Why do I have to go to the bathroom so often? It's non-stop!,colloquial,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
488,"I'm hitting the restroom every couple of hours, this is getting frustrating.",colloquial,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
489,I'm peeing way more than normal and it's really annoying.,colloquial,Genitourinary_symptoms,Experiencing increased frequency of micturition,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
490,I frequently experience a sudden and compelling urge to urinate that is difficult to postpone.,clinical,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
491,I keep needing to pee all the time and it's driving me crazy!,colloquial,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
492,I find myself with an intense and immediate need to urinate without much warning.,clinical,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
493,I have to rush to the bathroom constantly because I feel like I can't hold it.,colloquial,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
494,"I experience frequent and urgent urges to urinate, which interfere with daily activities.",clinical,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
495,I'm always running to the toilet because I suddenly feel like I really have to go.,colloquial,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
496,I am often unable to defer urination due to a compelling need to void.,clinical,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
497,I can't plan anything without worrying about needing to find a bathroom fast.,colloquial,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
498,I experience a persistent urgency to urinate that disrupts my normal routines.,clinical,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
499,"Feels like I'm always rushing for a pee, it's super annoying.",colloquial,Genitourinary_symptoms,Feeling an urgent need to urinate,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
500,I am experiencing a complete lack of sexual desire and interest.,clinical,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
501,I just don't feel like having sex at all anymore.,colloquial,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
502,"My sexual drive has diminished significantly, leading to reduced sexual activity.",clinical,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
503,I have no interest in sex these days.,colloquial,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
504,There is a noticeable lack of sexual responsiveness during intimate encounters.,clinical,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
505,Sex isn't appealing to me anymore.,colloquial,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
506,I find myself unable to engage in sexual activities due to an absence of sexual arousal.,clinical,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
507,I just can't get turned on like I used to.,colloquial,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
508,I am experiencing a significant decrease in sexual interest and arousal.,clinical,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
509,I really don't care about sex anymore.,colloquial,Genitourinary_symptoms,Development of frigidity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
510,I have been experiencing amenorrhea for the past six months.,clinical,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
511,"I missed my period again this month, and it's been a while since the last one.",colloquial,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
512,"My menstrual cycle has been absent for three consecutive months, indicating amenorrhea.",clinical,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
513,"I haven't gotten my period in months, and it's really starting to worry me.",colloquial,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
514,"The absence of menstruation has persisted for over six months, meeting the criteria for amenorrhea.",clinical,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
515,It's been months since I've seen any sign of my menstrual cycle.,colloquial,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
516,"I have documented a persistent lack of menstruation, which is classified as amenorrhea.",clinical,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
517,My period just stopped coming out of nowhere and hasn't come back.,colloquial,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
518,Amenorrhea has been noted due to the cessation of menstrual cycles over the past several months.,clinical,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
519,"I don't know why, but my periods have completely stopped for a while now.",colloquial,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
520,I am experiencing erectile dysfunction and am unable to achieve or maintain an erection sufficient for sexual intercourse.,clinical,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
521,"I can't get it up anymore, and it's really frustrating.",colloquial,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
522,"I have been diagnosed with impotence, which is affecting my sexual performance.",clinical,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
523,"No matter what I try, I just can't get an erection these days.",colloquial,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
524,My healthcare provider has noted a persistent inability to achieve an erection during sexual activities.,clinical,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
525,I feel embarrassed because I can't perform in bed due to my impotence.,colloquial,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
526,I have been experiencing significant erectile dysfunction that is impacting my quality of life.,clinical,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
527,It's humiliating that I can't seem to get hard when I need to.,colloquial,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
528,The medical assessment indicates that I am suffering from impotence related to my condition.,clinical,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
529,It's like my body just won't cooperate down there anymore.,colloquial,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
530,I am experiencing a significant decrease in sexual desire compared to my previous baseline.,clinical,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
531,"Lately, I just don't feel interested in sex at all.",colloquial,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
532,There is a marked reduction in my sexual thoughts and fantasies.,clinical,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
533,I can't remember the last time I wanted to have sex.,colloquial,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
534,My libido has decreased to a level that is abnormal for me.,clinical,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
535,Sex just doesn't seem appealing to me anymore.,colloquial,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
536,I have noticed a persistent decrease in my interest in sexual activity.,clinical,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
537,I have no interest in physical intimacy these days.,colloquial,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
538,There is an absence of sexual desire that has persisted for several weeks.,clinical,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
539,I just don't feel like having sex at all these days.,colloquial,Genitourinary_symptoms,Experiencing loss of libido,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
540,I am experiencing heavy menstrual bleeding that requires changing my sanitary protection every hour.,clinical,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
541,"My periods are so heavy, I'm constantly worried about leaking through everything.",colloquial,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
542,I have prolonged menstrual bleeding that lasts longer than seven days each cycle.,clinical,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
543,It's like my period never ends; I'm bleeding way more than normal.,colloquial,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
544,I experience menorrhagia and require double sanitary protection to manage the bleeding.,clinical,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
545,I feel like I'm bleeding out because my period is unbearably heavy.,colloquial,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
546,The volume of menstrual bleeding I experience is significantly higher than average.,clinical,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
547,I need to change my pads every hour because I'm bleeding so much.,colloquial,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
548,I have excessive menstrual bleeding that disrupts my daily activities.,clinical,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
549,I can't go anywhere without extra pads because my flow is so heavy.,colloquial,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
550,"I have been experiencing significant menstrual irregularities, with cycles that are either prolonged or infrequent.",clinical,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
551,"Lately, my periods have been all over the place, not arriving when they should.",colloquial,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
552,"My menstrual cycles have become irregular, with unexpected variations in frequency and duration.",clinical,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
553,"My period seems to have a mind of its own—sometimes it's late, sometimes it skips.",colloquial,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
554,"I am experiencing irregular menstrual cycles, with abnormal timing and flow.",clinical,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
555,My periods are so unpredictable these days; it's really frustrating.,colloquial,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
556,My menstrual cycle irregularities are characterized by inconsistent and abnormal bleeding patterns.,clinical,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
557,I can't tell when my period will show up anymore; it's completely erratic.,colloquial,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
558,"There are significant alterations in my menstrual regularity, affecting my cycle length and frequency.",clinical,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
559,My cycle is messed up; it doesn't start on time and sometimes skips entirely.,colloquial,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
560,I consistently experience ejaculation within one minute of penetration during sexual activities.,clinical,Genitourinary_symptoms,Experiencing premature ejaculation,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
