symptoms
"['Depressed_Mood', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Pessimism', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Anger_Irritability', 'Depressed_Mood', 'Worthlessness_and_guilty']"
"['Hyperactivity_agitation', 'Inattention']"
"['Indecisiveness', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Sleep_disturbance']"
"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Poor_memory']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Inattention', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Anger_Irritability', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Poor_memory']"
"['Suicidal_ideas', 'Depressed_Mood', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Anger_Irritability', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Suicidal_ideas']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Inattention']"
"['Depressed_Mood', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Hyperactivity_agitation']"
"['Suicidal_ideas', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Inattention']"
"['Depressed_Mood', 'Sleep_disturbance']"
"['Hyperactivity_agitation', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Pessimism', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Poor_memory']"
"['Depressed_Mood', 'Anger_Irritability', 'Pessimism']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Inattention', 'Poor_memory']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Suicidal_ideas']"
"['Worthlessness_and_guilty', 'Pessimism', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Indecisiveness']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Anger_Irritability', 'Hyperactivity_agitation']"
"['Depressed_Mood', 'Inattention', 'Poor_memory']"
"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Pessimism']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Sleep_disturbance']"
"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']"
"['Suicidal_ideas', 'Worthlessness_and_guilty', 'Poor_memory', 'Hyperactivity_agitation']"
"['Depressed_Mood', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Anger_Irritability', 'Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism', 'Sleep_disturbance']"
"['Depressed_Mood', 'Indecisiveness', 'Poor_memory']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Inattention']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness', 'Pessimism']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Hyperactivity_agitation']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']"
"['Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Worthlessness_and_guilty', 'Pessimism', 'Poor_memory']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Inattention', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Worthlessness_and_guilty', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Inattention', 'Pessimism']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Anger_Irritability', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Poor_memory', 'Indecisiveness']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Pessimism']"
"['Anger_Irritability', 'Loss_of_interest_or_motivation', 'Poor_memory']"
"['Depressed_Mood', 'Inattention', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Indecisiveness', 'Loss_of_interest_or_motivation']"
"['Hyperactivity_agitation', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Inattention', 'Suicidal_ideas', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Anger_Irritability', 'Loss_of_interest_or_motivation']"
"['Suicidal_ideas', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Anger_Irritability', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Loss_of_interest_or_motivation', 'Poor_memory', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Indecisiveness', 'Pessimism']"
"['Depressed_Mood', 'Inattention', 'Worthlessness_and_guilty', 'Poor_memory']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Hyperactivity_agitation', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Pessimism', 'Sleep_disturbance']"
"['Anger_Irritability', 'Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Pessimism', 'Poor_memory']"
"['Depressed_Mood', 'Inattention', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Poor_memory']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Indecisiveness']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Pessimism']"
"['Genitourinary_symptoms', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Loss_of_interest_or_motivation', 'Pessimism', 'Suicidal_ideas']"
"['Depressed_Mood', 'Anger_Irritability', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism', 'Poor_memory']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Inattention']"
"['Depressed_Mood', 'Pessimism', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Suicidal_ideas', 'Loss_of_interest_or_motivation']"
"['Worthlessness_and_guilty', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Poor_memory', 'Indecisiveness']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty', 'Suicidal_ideas']"
"['Hyperactivity_agitation', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Pessimism', 'Worthlessness_and_guilty']"
"['Hyperactivity_agitation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Inattention']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Poor_memory']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism', 'Loss_of_interest_or_motivation']"
"['Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Pessimism', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Indecisiveness', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Inattention', 'Poor_memory']"
"['Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Suicidal_ideas', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Sleep_disturbance']"
"['Inattention', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Suicidal_ideas', 'Decreased_energy_tiredness_fatigue', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Sleep_disturbance', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Anger_Irritability', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Poor_memory']"
"['Depressed_Mood', 'Anger_Irritability', 'Worthlessness_and_guilty']"
"['Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Pessimism', 'Suicidal_ideas']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Inattention', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Anger_Irritability']"
"['Depressed_Mood', 'Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Anger_Irritability', 'Pessimism']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Indecisiveness']"
"['Depressed_Mood', 'Inattention', 'Poor_memory']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism', 'Worthlessness_and_guilty']"
"['Hyperactivity_agitation', 'Depressed_Mood']"
"['Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Genitourinary_symptoms', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Worthlessness_and_guilty', 'Anger_Irritability']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Indecisiveness', 'Poor_memory', 'Inattention']"
"['Depressed_Mood', 'Pessimism', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Suicidal_ideas', 'Sleep_disturbance']"
"['Anger_Irritability', 'Decreased_energy_tiredness_fatigue', 'Depressed_Mood']"
"['Decreased_energy_tiredness_fatigue', 'Inattention', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Hyperactivity_agitation', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Anger_Irritability', 'Loss_of_interest_or_motivation', 'Poor_memory']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Genitourinary_symptoms', 'Loss_of_interest_or_motivation', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Pessimism']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Inattention']"
"['Depressed_Mood', 'Indecisiveness', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Pessimism', 'Poor_memory']"
"['Depressed_Mood', 'Anger_Irritability', 'Pessimism']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas']"
"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Genitourinary_symptoms', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Inattention', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Pessimism']"
"['Depressed_Mood', 'Suicidal_ideas', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Hyperactivity_agitation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Poor_memory']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Pessimism', 'Poor_memory']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Weight_and_appetite_change']"
"['Worthlessness_and_guilty', 'Pessimism', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Inattention']"
